queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,calib_ns,peak_rss_mb,unix_time
ms,throughput,1,1,1,1024,none,2.00,1000000,0,49266605,4.3142,11.420,0.0,0,0,0,0,0.0000,0.0000,0,5266,0.0000,0.0000,92324667,578.3,1783931284
ms-fix,throughput,1,1,1,1024,none,2.00,1000000,0,29238674,2.6908,10.866,0.0,0,0,0,0,0.0000,0.0000,0,712,0.0000,0.0000,124170458,363.6,1783931287
ms-retry,throughput,1,1,1,1024,none,2.00,1000000,0,29666217,2.8844,10.285,0.0,0,0,0,0,0.0000,0.0000,0,1467,0.0000,0.0000,118350125,403.1,1783931290
mutex,throughput,1,1,1,1024,none,2.00,1000000,0,67421867,2.0051,33.626,0.0,0,0,0,0,0.0000,0.0000,0,907160,0.0000,0.0000,119002458,1.3,1783931293
spsc,throughput,1,1,1,1024,none,2.00,1000000,0,705631985,2.0051,351.926,0.0,0,0,0,0,0.0000,0.0000,0,923,0.0000,0.0000,124050875,1.2,1783931295
ms,throughput,4,4,1,1024,none,2.00,1000000,0,11682596,2.0053,5.826,0.0,0,0,0,0,0.0781,0.0191,0,18156,0.0000,0.0000,123047041,16.4,1783931297
ms-fix,throughput,4,4,1,1024,none,2.00,1000000,0,11211983,2.0039,5.595,0.0,0,0,0,0,0.0365,0.0162,0,55491,0.0000,0.0000,123074917,8.8,1783931300
ms-retry,throughput,4,4,1,1024,none,2.00,1000000,0,13932486,2.5643,5.433,0.0,0,0,0,0,0.0903,0.0217,0,8363,0.0000,0.0000,123169292,166.9,1783931303
mutex,throughput,4,4,1,1024,none,2.00,1000000,0,39069408,2.0051,19.485,0.0,0,0,0,0,0.0084,0.0106,0,844867,0.0000,0.0000,124695167,1.7,1783931305
ms,throughput,1,7,1,1024,none,2.00,1000000,0,49619263,9.7656,5.081,0.0,0,0,0,0,0.0000,0.0077,0,46356,0.0000,0.0000,116973875,757.1,1783931315
ms-fix,throughput,1,7,1,1024,none,2.00,1000000,0,16683591,2.0146,8.281,0.0,0,0,0,0,0.0000,0.2034,0,39695,0.0000,0.0000,121504583,160.0,1783931318
ms-retry,throughput,1,7,1,1024,none,2.00,1000000,0,63943565,24.5070,2.609,0.0,0,0,0,0,0.0000,0.0129,0,162499,0.0000,0.0000,120593833,842.8,1783931343
mutex,throughput,1,7,1,1024,none,2.00,1000000,0,22195670,2.0050,11.070,0.0,0,0,0,0,0.0000,0.0105,0,1023591,0.0000,0.0000,123796959,1.5,1783931345
ms,throughput,2,6,1,1024,none,2.00,1000000,0,30813405,4.9907,6.174,0.0,0,0,0,0,0.0300,0.0142,0,22344,0.0000,0.0000,124015250,640.7,1783931351
ms-fix,throughput,2,6,1,1024,none,2.00,1000000,0,19025492,2.0082,9.474,0.0,0,0,0,0,0.0099,0.1198,0,60738,0.0000,0.0000,120961666,108.2,1783931353
ms-retry,throughput,2,6,1,1024,none,2.00,1000000,0,36571939,10.4730,3.492,0.0,0,0,0,0,0.0328,0.0131,0,89083,0.0000,0.0000,107343958,456.2,1783931364
mutex,throughput,2,6,1,1024,none,2.00,1000000,0,31638414,2.0051,15.779,0.0,0,0,0,0,0.0020,0.0074,0,965817,0.0000,0.0000,118746166,1.5,1783931367
ms,throughput,1,1,1,1024,none,2.00,1000000,1,39771651,3.3648,11.820,0.0,0,0,0,0,0.0000,0.0000,0,1233,0.0000,0.0000,125525750,520.4,1783931372
ms-fix,throughput,1,1,1,1024,none,2.00,1000000,1,38873226,3.3612,11.565,0.0,0,0,0,0,0.0000,0.0000,0,2447,0.0000,0.0000,121198167,525.8,1783931376
ms-retry,throughput,1,1,1,1024,none,2.00,1000000,1,18763167,2.1656,8.664,0.0,0,0,0,0,0.0000,0.0000,0,85,0.0000,0.0000,124964750,89.1,1783931379
mutex,throughput,1,1,1,1024,none,2.00,1000000,1,67322975,2.0051,33.576,0.0,0,0,0,0,0.0000,0.0000,0,917704,0.0000,0.0000,125062750,1.4,1783931381
spsc,throughput,1,1,1,1024,none,2.00,1000000,1,687057543,2.0054,342.603,0.0,0,0,0,0,0.0000,0.0000,0,1222,0.0000,0.0000,122097500,1.2,1783931384
ms,throughput,4,4,1,1024,none,2.00,1000000,1,14710168,2.0795,7.074,0.0,0,0,0,0,0.0942,0.0110,0,18225,0.0000,0.0000,125269750,55.6,1783931386
ms-fix,throughput,4,4,1,1024,none,2.00,1000000,1,11899769,2.0053,5.934,0.0,0,0,0,0,0.0097,0.0149,0,60591,0.0000,0.0000,125035125,11.2,1783931389
ms-retry,throughput,4,4,1,1024,none,2.00,1000000,1,15150717,2.7667,5.476,0.0,0,0,0,0,0.1345,0.0149,0,31177,0.0000,0.0000,123481708,178.1,1783931392
mutex,throughput,4,4,1,1024,none,2.00,1000000,1,37672882,2.0051,18.788,0.0,0,0,0,0,0.0028,0.0048,0,811691,0.0000,0.0000,116961625,1.6,1783931394
ms,throughput,1,7,1,1024,none,2.00,1000000,1,48921618,9.1780,5.330,0.0,0,0,0,0,0.0000,0.0095,0,35067,0.0000,0.0000,120502833,625.7,1783931404
ms-fix,throughput,1,7,1,1024,none,2.00,1000000,1,15750644,2.0103,7.835,0.0,0,0,0,0,0.0000,0.2320,0,17633,0.0000,0.0000,121435708,160.9,1783931406
ms-retry,throughput,1,7,1,1024,none,2.00,1000000,1,49840640,19.6797,2.533,0.0,0,0,0,0,0.0000,0.0113,0,66038,0.0000,0.0000,117099875,712.0,1783931426
mutex,throughput,1,7,1,1024,none,2.00,1000000,1,22463654,2.0051,11.203,0.0,0,0,0,0,0.0000,0.0138,0,1005461,0.0000,0.0000,113062208,1.5,1783931429
ms,throughput,2,6,1,1024,none,2.00,1000000,1,28822164,4.6290,6.226,0.0,0,0,0,0,0.0008,0.0235,0,9427,0.0000,0.0000,122050625,589.5,1783931434
ms-fix,throughput,2,6,1,1024,none,2.00,1000000,1,17331821,2.0117,8.616,0.0,0,0,0,0,0.0157,0.1776,0,19993,0.0000,0.0000,119176166,116.7,1783931436
ms-retry,throughput,2,6,1,1024,none,2.00,1000000,1,39238345,11.3010,3.472,0.0,0,0,0,0,0.0111,0.0145,0,23619,0.0000,0.0000,121795916,771.2,1783931448
mutex,throughput,2,6,1,1024,none,2.00,1000000,1,31438501,2.0051,15.679,0.0,0,0,0,0,0.0027,0.0033,0,953072,0.0000,0.0000,122357666,1.6,1783931451
ms,throughput,1,1,1,1024,none,2.00,1000000,2,30036817,2.8405,10.575,0.0,0,0,0,0,0.0000,0.0000,0,154,0.0000,0.0000,120186083,393.5,1783931456
ms-fix,throughput,1,1,1,1024,none,2.00,1000000,2,16201430,2.0938,7.738,0.0,0,0,0,0,0.0000,0.0000,0,400,0.0000,0.0000,117545500,35.4,1783931458
