queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,ebr_limbo_peak,ebr_maint_ns_per_pass,ebr_adv_success_rate,calib_ns,peak_rss_mb,unix_time
ms,throughput,1,1,1,1024,none,2,1000000,0,36462660,3.0938,11.786,0.0,0,0,0,0,0.0000,0.0000,0,1046,0.0000,0.0000,1600,4626.9,0.9989,97037959,514.0,1784203930
ms-fix,throughput,1,1,1,1024,none,2,1000000,0,36075408,3.1042,11.622,0.0,0,0,0,0,0.0000,0.0000,0,544,0.0000,0.0000,4160,4741.9,0.9982,118243500,548.8,1784203934
ms-retry,throughput,1,1,1,1024,none,2,1000000,0,42276407,3.5079,12.052,0.0,0,0,0,0,0.0000,0.0000,0,229,0.0000,0.0000,2112,4509.0,0.9946,120167666,671.3,1784203938
spsc,throughput,1,1,1,1024,none,2,1000000,0,741797797,2.0051,369.962,0.0,0,0,0,0,0.0000,0.0000,0,32,0.0000,0.0000,0,0.0,0.0000,115813833,1.1,1784203940
ms,throughput,4,4,1,1024,none,2,1000000,0,11808457,2.0021,5.898,0.0,0,0,0,0,0.0898,0.0072,0,54262,1.2396,0.4828,25894,26802.8,0.0326,125653416,10.4,1784203943
ms-fix,throughput,4,4,1,1024,none,2,1000000,0,11433582,2.0042,5.705,0.0,0,0,0,0,0.0031,0.0208,0,67163,1.3465,0.5355,23025,23370.4,0.0388,125183625,8.0,1784203945
ms-retry,throughput,4,4,1,1024,none,2,1000000,0,14599973,2.4452,5.971,0.0,0,0,0,0,0.0647,0.0050,0,45433,0.9410,0.3793,14400,38538.9,0.3864,124773584,153.4,1784203948
ms,throughput,1,7,1,1024,none,2,1000000,0,58998261,10.8647,5.430,0.0,0,0,0,0,0.0000,0.0100,0,154630,0.0482,0.0000,143296,79305.8,0.0010,120017083,691.7,1784203959
ms-fix,throughput,1,7,1,1024,none,2,1000000,0,24450233,2.0202,12.103,0.0,0,0,0,0,0.0000,0.1772,0,87499,0.5397,0.0000,1161065,18863.1,0.0007,123881958,370.2,1784203962
ms-retry,throughput,1,7,1,1024,none,2,1000000,0,56983335,19.7524,2.885,0.0,0,0,0,0,0.0000,0.0078,0,328822,0.1171,0.0000,55108,148650.5,0.3232,102837625,490.4,1784203982
ms,throughput,2,6,1,1024,none,2,1000000,0,35852328,5.4453,6.584,0.0,0,0,0,0,0.0050,0.0260,0,66835,0.2094,0.0663,82688,55641.8,0.0012,116737041,501.6,1784203988
ms-fix,throughput,2,6,1,1024,none,2,1000000,0,20821978,2.0114,10.352,0.0,0,0,0,0,0.0126,0.1780,0,73000,0.5912,0.1511,423095,20405.3,0.0043,125791417,101.1,1784203990
ms-retry,throughput,2,6,1,1024,none,2,1000000,0,41219929,10.7945,3.819,0.0,0,0,0,0,0.0204,0.0116,0,104867,0.3002,0.0656,25024,96220.3,0.5921,120352208,588.0,1784204001
