queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,ebr_limbo_peak,ebr_maint_ns_per_pass,ebr_adv_success_rate,calib_ns,peak_rss_mb,unix_time
rigtorp,throughput,1,1,1,1024,none,2,1000000,0,271463203,2.0051,135.389,0.0,0,0,0,0,0.0000,0.0000,0,809,0.0000,0.0000,0,0.0,0.0000,101449292,1.3,1784215423
xenium,throughput,1,1,1,1024,none,2,1000000,0,36626232,3.0985,11.821,0.0,0,0,0,0,0.0000,0.0000,0,15735,0.0000,0.0000,0,0.0,0.0000,99186583,352.9,1784215427
faa,throughput,1,1,1,1024,none,2,1000000,0,225744008,2.0051,112.587,0.0,0,0,0,0,0.0000,0.0000,0,3028,0.0000,0.0000,0,0.0,0.0000,103455875,1.2,1784215429
ms,throughput,1,1,1,1024,none,2,1000000,0,43208466,4.3361,9.965,0.0,0,0,0,0,0.0000,0.0000,0,18386,0.0000,0.0000,0,0.0,0.0000,101722916,417.5,1784215434
vyukov,throughput,1,1,1,1024,none,2,1000000,0,230289961,2.0051,114.854,0.0,0,0,0,0,0.0000,0.0000,0,3147,0.0000,0.0000,0,0.0,0.0000,102404708,1.2,1784215436
mutex,throughput,1,1,1,1024,none,2,1000000,0,55383175,2.0050,27.622,0.0,0,0,0,0,0.0000,0.0000,0,713409,0.0000,0.0000,0,0.0,0.0000,101025542,1.4,1784215439
moody,throughput,1,1,1,1024,none,2,1000000,0,37680353,2.0106,18.741,0.0,0,0,0,0,0.0000,0.0000,0,11572,0.0000,0.0000,0,0.0,0.0000,106705708,1.2,1784215441
spsc,throughput,1,1,1,1024,none,2,1000000,0,478047420,2.0052,238.404,0.0,0,0,0,0,0.0000,0.0000,0,12121,0.0000,0.0000,0,0.0,0.0000,121405250,1.2,1784215444
rigtorp,throughput,4,4,1,1024,none,2,1000000,0,3231004,2.0116,1.606,0.0,0,0,0,0,0.0275,0.0228,0,25264,0.0000,0.0000,0,0.0,0.0000,114716917,1.3,1784215446
xenium,throughput,4,4,1,1024,none,2,1000000,0,12253208,3.0438,4.026,0.0,0,0,0,0,0.0334,0.0903,0,22984,0.0000,0.0000,0,0.0,0.0000,116988583,167.7,1784215450
faa,throughput,4,4,1,1024,none,2,1000000,0,45322170,2.0050,22.604,0.0,0,0,0,0,0.0058,0.0062,0,166819,0.0000,0.0000,0,0.0,0.0000,108497125,1.4,1784215452
ms,throughput,4,4,1,1024,none,2,1000000,0,11819831,2.3460,5.038,0.0,0,0,0,0,0.0478,0.0204,0,23200,0.0000,0.0000,0,0.0,0.0000,123596792,85.1,1784215455
vyukov,throughput,4,4,1,1024,none,2,1000000,0,12837906,2.0030,6.409,0.0,0,0,0,0,0.0169,0.0086,0,447973,0.0000,0.0000,0,0.0,0.0000,121768583,1.4,1784215457
mutex,throughput,4,4,1,1024,none,2,1000000,0,25593137,2.0048,12.766,0.0,0,0,0,0,0.0353,0.0084,0,527615,0.0000,0.0000,0,0.0,0.0000,125981834,1.6,1784215460
