queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,calib_ns,peak_rss_mb,unix_time
vyukov,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,2229.3,375,1708,484416,2458208,0.0000,0.0200,0,360922,0.0000,0.0000,95213417,8.9,1783931973
faa,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,8902.3,375,11583,3554875,5574792,0.0000,0.0013,0,74599,0.0000,0.0000,119137792,8.9,1783931975
casticket,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,32772.1,333,30458,7717875,12046625,0.0000,0.0056,0,46850,0.0000,0.0000,123436041,8.9,1783931978
ms,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,902.5,500,7875,24292,1814417,0.0000,0.0329,0,158556,0.0000,0.0000,107076542,9.3,1783931980
mutex,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,2468.4,875,14375,374375,1457916,0.0000,0.0076,0,991247,0.0000,0.0000,117587917,9.0,1783931983
moody,latency,4,4,1,1024,none,2.00,250000,0,500000,2.0000,0.250,559.1,500,1208,12792,197208,0.0000,0.0438,0,210921,0.0000,0.0000,122649375,9.0,1783931985
vyukov,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,595.2,375,1250,31375,498667,0.0000,0.0494,0,332388,0.0000,0.0000,116973083,16.5,1783931988
faa,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,613.2,333,6041,23625,1972375,0.0000,0.0029,0,37586,0.0000,0.0000,117625000,16.5,1783931990
casticket,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,639.3,333,5792,28167,1940333,0.0000,0.0024,0,43604,0.0000,0.0000,117189166,16.5,1783931993
ms,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,627306.8,875,11652584,19396875,21940709,0.0000,0.0315,0,525802,0.0000,0.0000,117524417,17.7,1783931995
mutex,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,72176.9,1125,1887500,7421125,10007666,0.0000,0.0059,0,759858,0.0000,0.0000,122723375,16.6,1783931997
moody,latency,4,4,1,1024,none,2.00,500000,0,1000000,2.0000,0.500,23463.6,500,368542,5801209,7815625,0.0000,0.0513,0,174563,0.0000,0.0000,126045416,16.6,1783932000
vyukov,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,3257.6,417,16709,757625,1893125,0.0000,0.0082,0,283837,0.0000,0.0000,121837667,31.8,1783932002
faa,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,5602.7,334,41584,1524542,3124167,0.0000,0.0058,0,136897,0.0000,0.0000,123956459,31.8,1783932005
casticket,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,12863.5,333,348416,2061916,3564375,0.0000,0.0052,0,216098,0.0000,0.0000,125442959,31.8,1783932007
ms,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,1430.8,500,13958,171250,1539291,0.0000,0.0152,0,84592,0.0000,0.0000,121678541,32.3,1783932010
mutex,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,50499.1,4292,829375,7786000,10268083,0.0000,0.0045,0,760101,0.0000,0.0000,122060792,32.0,1783932012
moody,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,301020.3,500,10175750,26375667,29364125,0.0000,0.0108,0,95245,0.0000,0.0000,128292917,31.9,1783932015
vyukov,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,2001.6,417,9584,428042,1970084,0.0000,0.0106,0,219888,0.0000,0.0000,115188000,62.2,1783932017
faa,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,1159.5,291,8416,150166,1849875,0.0000,0.0039,0,71910,0.0000,0.0000,126265792,62.3,1783932020
casticket,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,13698.5,292,209209,3790750,5738917,0.0000,0.0032,0,99104,0.0000,0.0000,123410625,62.3,1783932022
ms,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,15850.3,542,326334,2814084,7026542,0.0000,0.0149,0,185282,0.0000,0.0000,125327292,64.3,1783932025
mutex,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,20453.7,14333,95417,270375,663167,0.0000,0.0068,0,803637,0.0000,0.0000,155379917,62.5,1783932028
moody,latency,4,4,1,1024,none,2.00,2000000,0,4000000,2.0000,2.000,11222002.5,667,181532500,200719042,204634333,0.0000,0.0480,0,139751,0.0000,0.0000,125869667,62.4,1783932030
vyukov,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,3769.9,459,116917,396667,2353334,0.0000,0.0128,0,123560,0.0000,0.0000,120220125,123.3,1783932033
faa,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,1637.7,334,16125,279542,2477167,0.0000,0.0025,0,25581,0.0000,0.0000,123250291,123.4,1783932035
casticket,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,2073.7,333,34208,304792,2050833,0.0000,0.0049,0,30012,0.0000,0.0000,117932583,123.3,1783932038
ms,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,5082.4,667,74333,322375,2011667,0.0000,0.0082,0,81586,0.0000,0.0000,124122709,125.4,1783932040
mutex,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,69691.1,54750,265416,454125,1129333,0.0000,0.0065,0,872276,0.0000,0.0000,108843458,123.5,1783932043
moody,latency,4,4,1,1024,none,2.00,4000000,0,8000000,2.0000,4.000,5678.8,458,29333,1919167,3244417,0.0000,0.0060,0,98586,0.0000,0.0000,120602375,123.4,1783932046
vyukov,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,333184.0,417,9837375,18786834,23084959,0.0000,0.0109,0,367667,0.0000,0.0000,121267459,8.9,1783932050
faa,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,41276.3,333,816125,7980458,14686333,0.0000,0.0033,0,111729,0.0000,0.0000,124235875,9.0,1783932053
casticket,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,10110.1,333,75750,2679833,4084000,0.0000,0.0078,0,175954,0.0000,0.0000,125967417,8.9,1783932055
ms,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,7274.9,500,34583,2116583,5464500,0.0000,0.0204,0,319819,0.0000,0.0000,123958416,9.2,1783932058
mutex,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,25413.4,792,780125,3673500,4757833,0.0000,0.0035,0,689635,0.0000,0.0000,121882458,9.0,1783932060
moody,latency,4,4,1,1024,none,2.00,250000,1,500000,2.0000,0.250,3385.8,500,9208,887708,2686042,0.0000,0.0489,0,259570,0.0000,0.0000,124328833,9.0,1783932062
vyukov,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,922.7,417,3500,66375,776417,0.0000,0.0111,0,377450,0.0000,0.0000,124342459,16.6,1783932065
faa,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,860.2,333,7125,72458,1950292,0.0000,0.0028,0,51386,0.0000,0.0000,115860375,16.5,1783932067
casticket,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,422253.7,334,16920917,38755834,45432000,0.0000,0.0069,0,140502,0.0000,0.0000,124454542,16.6,1783932070
ms,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,227470.6,541,7621500,9754875,10061541,0.0000,0.0219,0,222024,0.0000,0.0000,122023375,17.7,1783932072
mutex,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,4690.5,1000,36375,508167,2167125,0.0000,0.0014,0,846990,0.0000,0.0000,124378125,16.7,1783932075
moody,latency,4,4,1,1024,none,2.00,500000,1,1000000,2.0000,0.500,200077.5,500,7476292,14427583,18254500,0.0000,0.0554,0,214698,0.0000,0.0000,123222209,16.6,1783932077
vyukov,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,750.4,417,3583,45375,1908750,0.0000,0.0238,0,290283,0.0000,0.0000,125487750,31.8,1783932080
faa,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,1014.1,333,8708,62583,1256458,0.0000,0.0032,0,144649,0.0000,0.0000,125436917,31.8,1783932082
casticket,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,966.7,333,8917,60083,1909583,0.0000,0.0047,0,134459,0.0000,0.0000,123116208,31.8,1783932085
ms,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,84663.7,542,1405542,19086417,26765500,0.0000,0.0278,0,187454,0.0000,0.0000,126540875,33.6,1783932087
mutex,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,12206.2,3667,119959,893167,2233500,0.0000,0.0008,0,768922,0.0000,0.0000,125077084,31.9,1783932090
moody,latency,4,4,1,1024,none,2.00,1000000,1,2000000,2.0000,1.000,901533.7,583,21373125,39110541,45388291,0.0000,0.0313,0,256088,0.0000,0.0000,119462625,31.8,1783932092
vyukov,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,9829.5,458,30667,3083167,4574000,0.0000,0.0265,0,265236,0.0000,0.0000,119174875,62.3,1783932095
faa,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,26076.2,292,350417,5966292,7922250,0.0000,0.0057,0,122369,0.0000,0.0000,123286416,62.3,1783932097
casticket,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,737.0,292,7542,48792,1573625,0.0000,0.0066,0,95375,0.0000,0.0000,124347917,62.3,1783932100
ms,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,2298647.0,583,65043416,79582541,94394291,0.0000,0.0093,0,201592,0.0000,0.0000,124388709,71.4,1783932102
mutex,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,345001.9,22791,9192333,16479583,20517750,0.0000,0.0109,0,710743,0.0000,0.0000,101827708,62.1,1783932105
moody,latency,4,4,1,1024,none,2.00,2000000,1,4000000,2.0000,2.000,26367.7,875,410542,5068375,7529792,0.0000,0.0183,0,657579,0.0000,0.0000,121272208,62.0,1783932107
vyukov,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,49832.3,542,1460792,4903833,6034292,0.0000,0.0161,0,295962,0.0000,0.0000,119769208,123.0,1783932110
faa,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,1948.2,333,24833,304125,2010667,0.0000,0.0027,0,29557,0.0000,0.0000,123370541,123.3,1783932112
casticket,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,8265.2,333,131083,2253625,3853500,0.0000,0.0006,0,23413,0.0000,0.0000,124958125,123.3,1783932115
ms,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,17338.6,666,111291,4482791,7055458,0.0000,0.0092,0,69722,0.0000,0.0000,124043375,125.7,1783932118
mutex,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,65049.1,51709,249459,369334,616709,0.0000,0.0046,0,892144,0.0000,0.0000,121674042,123.5,1783932120
moody,latency,4,4,1,1024,none,2.00,4000000,1,8000000,2.0000,4.000,5641.0,500,40458,1446541,3424416,0.0000,0.0107,0,126038,0.0000,0.0000,119615375,123.3,1783932123
vyukov,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,723248.6,417,18316875,34906292,69207250,0.0000,0.0610,0,372389,0.0000,0.0000,121510042,8.9,1783932128
faa,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,96347.4,750,3536917,9434750,12384500,0.0000,0.0118,0,542157,0.0000,0.0000,103254458,9.0,1783932130
casticket,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,5710.3,333,64000,1398167,3184917,0.0000,0.0044,0,93867,0.0000,0.0000,109609292,8.9,1783932132
ms,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,161245.8,500,6175084,9534167,10114042,0.0000,0.0096,0,350799,0.0000,0.0000,123206917,9.3,1783932135
mutex,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,4555.2,833,27916,818875,1939458,0.0000,0.0038,0,945497,0.0000,0.0000,122487875,9.0,1783932137
moody,latency,4,4,1,1024,none,2.00,250000,2,500000,2.0000,0.250,198435.5,500,6189042,13062458,17879542,0.0000,0.0130,0,301524,0.0000,0.0000,111993959,9.1,1783932140
vyukov,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,1110.7,375,3666,184708,652166,0.0000,0.1415,0,354179,0.0000,0.0000,118733792,16.5,1783932142
faa,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,1810.9,334,16000,262084,1968500,0.0000,0.0026,0,107930,0.0000,0.0000,117009917,16.5,1783932145
casticket,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,3773.7,333,16791,973208,2841708,0.0000,0.0027,0,99428,0.0000,0.0000,117918667,16.5,1783932147
ms,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,885.7,500,8458,38500,1826292,0.0000,0.0580,0,144109,0.0000,0.0000,118034042,16.8,1783932150
mutex,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,3174.7,1000,27791,209708,941375,0.0000,0.0023,0,892659,0.0000,0.0000,124688000,16.6,1783932152
moody,latency,4,4,1,1024,none,2.00,500000,2,1000000,2.0000,0.500,234627.2,500,8490750,20383000,26538875,0.0000,0.0196,0,241089,0.0000,0.0000,123917042,16.7,1783932155
vyukov,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,2477.2,416,30250,481041,1875958,0.0000,0.0108,0,252932,0.0000,0.0000,125958834,31.8,1783932157
faa,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,3833.3,333,57583,668750,1833875,0.0000,0.0033,0,177004,0.0000,0.0000,123614125,31.8,1783932160
casticket,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,1621.1,333,14500,200000,1346625,0.0000,0.0049,0,184469,0.0000,0.0000,125050166,31.8,1783932162
ms,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,2944.2,500,33792,492708,1746417,0.0000,0.0176,0,139751,0.0000,0.0000,118809459,32.2,1783932165
mutex,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,9081.1,3750,67125,334375,985000,0.0000,0.0022,0,771244,0.0000,0.0000,126347083,31.9,1783932167
moody,latency,4,4,1,1024,none,2.00,1000000,2,2000000,2.0000,1.000,2611.9,500,25000,485666,2010791,0.0000,0.0107,0,144741,0.0000,0.0000,120361000,31.8,1783932170
