queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,ebr_limbo_peak,ebr_maint_ns_per_pass,ebr_adv_success_rate,calib_ns,peak_rss_mb,unix_time,e_resid,p_resid,e_freq,p_freq,cpu_mw,nj_per_op
faa,throughput,4,4,1,1024,none,2,1000000,0,35257627,2.0025,17.606,0.0,0,0,0,0,0.0071,0.0014,0,59085,0.0000,0.0000,0,0.0,0.0000,112249250,1.3,1784281204,68.739,60.569,1385.787,1253.723,1575.723,89.50
vyukov,throughput,4,4,1,1024,none,2,1000000,0,15204088,2.0051,7.583,0.0,0,0,0,0,0.0340,0.0114,0,280067,0.0000,0.0000,0,0.0,0.0000,96354583,1.3,1784281217,66.362,59.760,1321.646,1210.354,1820.667,240.11
ms,throughput,4,4,1,1024,none,2,1000000,0,12304984,2.0065,6.133,0.0,0,0,0,0,0.0270,0.0199,0,40598,0.0000,0.0000,0,0.0,0.0000,97613417,15.7,1784281230,64.677,59.404,1266.604,1182.917,1993.271,325.03
mutex,throughput,4,4,1,1024,none,2,1000000,0,38489784,2.0040,19.206,0.0,0,0,0,0,0.0061,0.0053,0,829579,0.0000,0.0000,0,0.0,0.0000,95125333,1.6,1784281243,62.642,58.537,1238.188,1115.292,1467.271,76.39
moody,throughput,4,4,1,1024,none,2,1000000,0,15587760,2.0051,7.774,0.0,0,0,0,0,0.0917,0.0130,0,3691,0.0000,0.0000,0,0.0,0.0000,98871125,1.4,1784281256,61.016,58.572,1250.312,1116.729,1662.646,213.87
faa,throughput,4,4,1,1024,all-int,2,1000000,0,32834762,2.0051,16.376,0.0,0,0,0,0,0.0032,0.0030,0,11302,0.0000,0.0000,0,0.0,0.0000,97593834,1.3,1784281269,61.252,58.653,1239.896,1120.521,1109.938,67.78
vyukov,throughput,4,4,1,1024,all-int,2,1000000,0,14843749,2.0076,7.394,0.0,0,0,0,0,0.0485,0.0423,0,20141,0.0000,0.0000,0,0.0,0.0000,98858792,1.4,1784281282,61.621,58.826,1267.979,1135.333,1244.104,168.26
ms,throughput,4,4,1,1024,all-int,2,1000000,0,12164300,2.0062,6.063,0.0,0,0,0,0,0.0396,0.0111,0,18277,0.0000,0.0000,0,0.0,0.0000,97032875,22.4,1784281295,61.472,60.131,1266.479,1204.583,2101.521,346.59
mutex,throughput,4,4,1,1024,all-int,2,1000000,0,38400027,2.0042,19.160,0.0,0,0,0,0,0.0045,0.0031,0,821664,0.0000,0.0000,0,0.0,0.0000,96878041,1.5,1784281308,61.291,59.037,1269.854,1145.875,1476.208,77.05
moody,throughput,4,4,1,1024,all-int,2,1000000,0,15593374,2.0051,7.777,0.0,0,0,0,0,0.0841,0.0260,0,4254,0.0000,0.0000,0,0.0,0.0000,96983875,1.4,1784281321,64.198,59.044,1267.146,1130.667,1733.042,222.85
faa,throughput,4,4,1,1024,all-bg,2,1000000,0,29060543,2.0052,14.492,0.0,0,0,0,0,0.0075,0.0078,0,141482,0.0000,0.0000,0,0.0,0.0000,97613209,1.4,1784281334,62.194,51.175,1048.208,724.229,143.104,9.87
vyukov,throughput,4,4,1,1024,all-bg,2,1000000,0,996324,2.0053,0.497,0.0,0,0,0,0,0.1215,0.0997,0,4056,0.0000,0.0000,0,0.0,0.0000,93373667,1.3,1784281347,61.221,51.294,1054.333,734.708,165.333,332.77
ms,throughput,4,4,1,1024,all-bg,2,1000000,0,9161633,2.9302,3.127,0.0,0,0,0,0,0.0491,0.3036,0,7030,0.0000,0.0000,0,0.0,0.0000,96118208,145.4,1784281361,63.738,54.933,1048.000,932.212,556.346,177.94
mutex,throughput,4,4,1,1024,all-bg,2,1000000,0,7560705,2.0053,3.770,0.0,0,0,0,0,0.0175,0.0525,0,315659,0.0000,0.0000,0,0.0,0.0000,94529959,1.5,1784281374,62.143,51.630,1060.229,750.604,179.500,47.61
moody,throughput,4,4,1,1024,all-bg,2,1000000,0,6485601,2.0052,3.234,0.0,0,0,0,0,0.0253,0.1092,0,5478,0.0000,0.0000,0,0.0,0.0000,97574458,1.5,1784281388,61.445,51.980,1075.500,774.875,194.646,60.18
faa,throughput,4,4,1,1024,none,2,1000000,1,33155906,2.0051,16.536,0.0,0,0,0,0,0.0013,0.0003,0,18027,0.0000,0.0000,0,0.0,0.0000,96778208,1.3,1784281401,61.410,60.592,1263.229,1219.729,1192.708,72.13
