queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,ebr_limbo_peak,ebr_maint_ns_per_pass,ebr_adv_success_rate,calib_ns,peak_rss_mb,unix_time
faa,throughput,4,4,1,1024,none,10,1000000,0,161747965,27.7515,5.828,0.0,0,0,0,0,0.0012,0.0013,0,247852,0.0000,0.0000,0,0.0,0.0000,94644750,1.3,1784218597
faa,throughput,4,4,1,1024,none,10,1000000,1,163193174,10.0051,16.311,0.0,0,0,0,0,0.0011,0.0012,0,59674,0.0000,0.0000,0,0.0,0.0000,95836000,1.3,1784218607
faa,throughput,4,4,1,1024,none,10,1000000,2,163939928,10.0023,16.390,0.0,0,0,0,0,0.0008,0.0008,0,74475,0.0000,0.0000,0,0.0,0.0000,95507875,1.3,1784218618
faa,throughput,4,4,1,1024,none,10,1000000,3,166552120,10.0051,16.647,0.0,0,0,0,0,0.0010,0.0013,0,178253,0.0000,0.0000,0,0.0,0.0000,95100000,1.4,1784218628
faa,throughput,4,4,1,1024,none,10,1000000,4,163229275,10.0011,16.321,0.0,0,0,0,0,0.0009,0.0012,0,58060,0.0000,0.0000,0,0.0,0.0000,95676084,1.3,1784218638
faa,throughput,4,4,1,1024,none,10,1000000,5,165003133,10.0051,16.492,0.0,0,0,0,0,0.0005,0.0012,0,67072,0.0000,0.0000,0,0.0,0.0000,95400125,1.3,1784218648
faa,throughput,4,4,1,1024,none,10,1000000,6,164673312,10.0051,16.459,0.0,0,0,0,0,0.0012,0.0005,0,77630,0.0000,0.0000,0,0.0,0.0000,95065583,1.3,1784218658
faa,throughput,4,4,1,1024,none,10,1000000,7,164039714,10.0051,16.396,0.0,0,0,0,0,0.0006,0.0007,0,65131,0.0000,0.0000,0,0.0,0.0000,95483083,1.3,1784218668
faa,throughput,4,4,1,1024,none,10,1000000,8,164327291,10.0045,16.425,0.0,0,0,0,0,0.0011,0.0012,0,67826,0.0000,0.0000,0,0.0,0.0000,94770500,1.3,1784218678
faa,throughput,4,4,1,1024,none,10,1000000,9,163739437,10.0051,16.366,0.0,0,0,0,0,0.0008,0.0013,0,55779,0.0000,0.0000,0,0.0,0.0000,95313333,1.3,1784218688
faa,throughput,4,4,1,1024,none,10,1000000,10,164502830,10.0024,16.446,0.0,0,0,0,0,0.0007,0.0009,0,63058,0.0000,0.0000,0,0.0,0.0000,95857666,1.4,1784218698
faa,throughput,4,4,1,1024,none,10,1000000,11,164204873,10.0044,16.413,0.0,0,0,0,0,0.0005,0.0006,0,61288,0.0000,0.0000,0,0.0,0.0000,95405458,1.4,1784218709
faa,throughput,4,4,1,1024,none,10,1000000,12,164301196,10.0051,16.422,0.0,0,0,0,0,0.0011,0.0010,0,78274,0.0000,0.0000,0,0.0,0.0000,95441375,1.3,1784218719
