queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
ms,throughput,1,1,1,1024,none,2.00,1000000,0,35754590,3.2098,11.139,0.0,0,0,0,0,0.0000,107431500,1783188970
vyukov,throughput,1,1,1,1024,none,2.00,1000000,0,233013814,2.0051,116.212,0.0,0,0,0,0,0.0000,124467875,1783188972
faa,throughput,1,1,1,1024,none,2.00,1000000,0,251576976,2.0051,125.471,0.0,0,0,0,0,0.0000,116451833,1783188975
mutex,throughput,1,1,1,1024,none,2.00,1000000,0,62524848,2.0025,31.224,0.0,0,0,0,0,0.0000,114754125,1783188977
moody,throughput,1,1,1,1024,none,2.00,1000000,0,52849376,2.0051,26.358,0.0,0,0,0,0,0.0000,119640417,1783188980
spsc,throughput,1,1,1,1024,none,2.00,1000000,0,749902755,2.0051,374.004,0.0,0,0,0,0,0.0000,125048375,1783188982
ms,throughput,2,2,1,1024,none,2.00,1000000,0,42621151,2.5101,16.980,0.0,0,0,0,0,0.1254,116198041,1783188985
vyukov,throughput,2,2,1,1024,none,2.00,1000000,0,50737264,2.0051,25.304,0.0,0,0,0,0,0.0653,120606834,1783188987
faa,throughput,2,2,1,1024,none,2.00,1000000,0,53065557,2.0051,26.466,0.0,0,0,0,0,0.0012,119256417,1783188990
mutex,throughput,2,2,1,1024,none,2.00,1000000,0,44962388,2.0051,22.424,0.0,0,0,0,0,0.0137,123797625,1783188992
moody,throughput,2,2,1,1024,none,2.00,1000000,0,24550716,2.0051,12.244,0.0,0,0,0,0,0.0026,122921333,1783188995
ms,throughput,4,4,1,1024,none,2.00,1000000,0,11711124,2.0060,5.838,0.0,0,0,0,0,0.0520,123725708,1783188997
vyukov,throughput,4,4,1,1024,none,2.00,1000000,0,16997302,2.0052,8.477,0.0,0,0,0,0,0.0761,121631375,1783189000
faa,throughput,4,4,1,1024,none,2.00,1000000,0,34722129,2.0047,17.321,0.0,0,0,0,0,0.0035,119899541,1783189002
mutex,throughput,4,4,1,1024,none,2.00,1000000,0,39002416,2.0052,19.451,0.0,0,0,0,0,0.0071,121814292,1783189004
moody,throughput,4,4,1,1024,none,2.00,1000000,0,15522432,2.0051,7.741,0.0,0,0,0,0,0.0855,123418916,1783189007
ms,throughput,1,7,1,1024,none,2.00,1000000,0,50755096,8.3659,6.067,0.0,0,0,0,0,0.0000,122637500,1783189016
vyukov,throughput,1,7,1,1024,none,2.00,1000000,0,11901860,2.0053,5.935,0.0,0,0,0,0,0.0000,122846500,1783189018
faa,throughput,1,7,1,1024,none,2.00,1000000,0,40621699,2.0051,20.259,0.0,0,0,0,0,0.0000,124078500,1783189021
mutex,throughput,1,7,1,1024,none,2.00,1000000,0,23294473,2.0051,11.618,0.0,0,0,0,0,0.0000,118781583,1783189023
moody,throughput,1,7,1,1024,none,2.00,1000000,0,14753834,2.0078,7.348,0.0,0,0,0,0,0.0000,125235167,1783189025
ms,throughput,7,1,1,1024,none,2.00,1000000,0,10084265,2.0052,5.029,0.0,0,0,0,0,0.0460,124637792,1783189028
