queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,peak_rss_mb,unix_time
ms,throughput,1,1,1,1024,none,2.00,1000000,0,32345677,2.9210,11.073,0.0,0,0,0,0,0.0000,92818792,477.0,1783271011
vyukov,throughput,1,1,1,1024,none,2.00,1000000,0,240067850,2.0051,119.731,0.0,0,0,0,0,0.0000,118395958,1.1,1783271014
faa,throughput,1,1,1,1024,none,2.00,1000000,0,261416898,2.0051,130.378,0.0,0,0,0,0,0.0000,123016833,1.2,1783271016
mutex,throughput,1,1,1,1024,none,2.00,1000000,0,69689783,2.0051,34.757,0.0,0,0,0,0,0.0000,121593958,1.3,1783271019
moody,throughput,1,1,1,1024,none,2.00,1000000,0,53134784,2.0051,26.500,0.0,0,0,0,0,0.0000,124247500,1.2,1783271021
spsc,throughput,1,1,1,1024,none,2.00,1000000,0,747903372,2.0034,373.322,0.0,0,0,0,0,0.0000,121883625,1.2,1783271024
ms,throughput,2,2,1,1024,none,2.00,1000000,0,43414381,2.5891,16.768,0.0,0,0,0,0,0.0012,121395291,408.6,1783271027
vyukov,throughput,2,2,1,1024,none,2.00,1000000,0,50550419,2.0051,25.211,0.0,0,0,0,0,0.0321,121113500,1.2,1783271029
faa,throughput,2,2,1,1024,none,2.00,1000000,0,53497752,2.0051,26.681,0.0,0,0,0,0,0.0011,121767917,1.2,1783271032
mutex,throughput,2,2,1,1024,none,2.00,1000000,0,46082544,2.0051,22.983,0.0,0,0,0,0,0.0231,121722250,1.5,1783271034
moody,throughput,2,2,1,1024,none,2.00,1000000,0,25652565,2.0051,12.794,0.0,0,0,0,0,0.0010,121697333,1.3,1783271036
ms,throughput,4,4,1,1024,none,2.00,1000000,0,11699707,2.0035,5.840,0.0,0,0,0,0,0.0410,123209584,13.0,1783271039
vyukov,throughput,4,4,1,1024,none,2.00,1000000,0,15630278,2.0051,7.795,0.0,0,0,0,0,0.0217,123648542,1.3,1783271041
faa,throughput,4,4,1,1024,none,2.00,1000000,0,33523782,2.0051,16.719,0.0,0,0,0,0,0.0018,117931125,1.2,1783271044
mutex,throughput,4,4,1,1024,none,2.00,1000000,0,38363935,2.0051,19.133,0.0,0,0,0,0,0.0064,116390625,1.6,1783271046
moody,throughput,4,4,1,1024,none,2.00,1000000,0,14937568,2.0051,7.450,0.0,0,0,0,0,0.0389,119928917,1.4,1783271049
ms,throughput,1,7,1,1024,none,2.00,1000000,0,42110266,7.9110,5.323,0.0,0,0,0,0,0.0000,117011417,558.5,1783271057
vyukov,throughput,1,7,1,1024,none,2.00,1000000,0,10731612,2.0053,5.352,0.0,0,0,0,0,0.0000,117709208,1.3,1783271059
faa,throughput,1,7,1,1024,none,2.00,1000000,0,40523801,2.0051,20.210,0.0,0,0,0,0,0.0000,122129375,1.3,1783271062
mutex,throughput,1,7,1,1024,none,2.00,1000000,0,23679018,2.0051,11.810,0.0,0,0,0,0,0.0000,123427375,1.5,1783271064
