queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,calib_ns,peak_rss_mb,unix_time
ms,throughput,4,4,1,1024,none,2.00,1000000,0,14702426,2.0900,7.035,0.0,0,0,0,0,0.0356,0.0190,0,43042,0.0000,0.0000,102791250,48.5,1783416296
vyukov,throughput,4,4,1,1024,none,2.00,1000000,0,16311709,2.0052,8.135,0.0,0,0,0,0,0.0525,0.0238,0,58903,0.0000,0.0000,120750125,1.3,1783416298
vyukov-b,throughput,4,4,1,1024,none,2.00,1000000,0,17151137,2.0051,8.554,0.0,0,0,0,0,0.0364,0.0156,0,199653,0.0000,0.0000,102882125,1.4,1783416300
faa,throughput,4,4,1,1024,none,2.00,1000000,0,34114200,2.0045,17.019,0.0,0,0,0,0,0.0025,0.0035,0,40488,0.0000,0.0000,117686792,1.3,1783416303
casticket,throughput,4,4,1,1024,none,2.00,1000000,0,15124080,2.0051,7.543,0.0,0,0,0,0,0.0132,0.0176,0,17034,0.0000,0.0000,124161541,1.4,1783416305
mutex,throughput,4,4,1,1024,none,2.00,1000000,0,38449095,2.0051,19.175,0.0,0,0,0,0,0.0073,0.0065,0,850387,0.0000,0.0000,122096250,1.6,1783416308
moody,throughput,4,4,1,1024,none,2.00,1000000,0,15043989,2.0051,7.503,0.0,0,0,0,0,0.0171,0.0319,0,5969,0.0000,0.0000,122646000,1.4,1783416310
ms,throughput,4,4,2,1024,none,2.00,1000000,0,16901935,2.9219,5.784,0.0,0,0,0,0,0.1108,0.0255,0,39348,0.0000,0.0000,122352167,235.2,1783416314
vyukov,throughput,4,4,2,1024,none,2.00,1000000,0,3971398,2.0052,1.981,0.0,0,0,0,0,0.0486,0.0898,0,143880,0.0000,0.0000,120406292,1.4,1783416316
vyukov-b,throughput,4,4,2,1024,none,2.00,1000000,0,3479842,2.0052,1.735,0.0,0,0,0,0,0.0581,0.0935,0,59334,0.0000,0.0000,123877458,1.5,1783416319
faa,throughput,4,4,2,1024,none,2.00,1000000,0,39247839,2.0041,19.583,0.0,0,0,0,0,0.0103,0.0054,0,280234,0.0000,0.0000,124124375,1.5,1783416321
casticket,throughput,4,4,2,1024,none,2.00,1000000,0,21638552,2.0051,10.792,0.0,0,0,0,0,0.0105,0.0078,0,201238,0.0000,0.0000,125507834,1.5,1783416323
mutex,throughput,4,4,2,1024,none,2.00,1000000,0,30297688,2.0052,15.110,0.0,0,0,0,0,0.0210,0.0514,0,503120,0.0000,0.0000,117910709,1.7,1783416326
moody,throughput,4,4,2,1024,none,2.00,1000000,0,16597623,2.0053,8.277,0.0,0,0,0,0,0.1441,0.0502,0,11108,0.0000,0.0000,120834667,1.6,1783416328
ms,throughput,4,4,4,1024,none,2.00,1000000,0,15539725,2.9103,5.340,0.0,0,0,0,0,0.2184,0.0376,0,20205,0.0000,0.0000,100048334,264.5,1783416332
vyukov,throughput,4,4,4,1024,none,2.00,1000000,0,3287211,2.0118,1.634,0.0,0,0,0,0,0.1434,0.1052,0,109872,0.0000,0.0000,120323750,1.9,1783416334
vyukov-b,throughput,4,4,4,1024,none,2.00,1000000,0,3553201,2.0178,1.761,0.0,0,0,0,0,0.1855,0.0855,0,119321,0.0000,0.0000,122440334,1.8,1783416337
faa,throughput,4,4,4,1024,none,2.00,1000000,0,57926045,2.0053,28.886,0.0,0,0,0,0,0.0102,0.0091,0,1130108,0.0000,0.0000,125198417,1.8,1783416339
casticket,throughput,4,4,4,1024,none,2.00,1000000,0,40079677,2.0055,19.985,0.0,0,0,0,0,0.0096,0.0091,0,834370,0.0000,0.0000,121424583,1.8,1783416341
mutex,throughput,4,4,4,1024,none,2.00,1000000,0,27293909,2.0021,13.632,0.0,0,0,0,0,0.1259,0.0819,0,500495,0.0000,0.0000,124473084,2.0,1783416344
moody,throughput,4,4,4,1024,none,2.00,1000000,0,15427198,2.0128,7.664,0.0,0,0,0,0,0.1123,0.0456,0,9495,0.0000,0.0000,122822417,1.9,1783416346
ms,throughput,4,4,4,64,none,2.00,1000000,0,14744640,2.7807,5.303,0.0,0,0,0,0,0.1401,0.0285,0,14467,0.0000,0.0000,116943333,233.9,1783416350
vyukov,throughput,4,4,4,64,none,2.00,1000000,0,1755017,2.0053,0.875,0.0,0,0,0,0,0.2016,0.0679,0,74815,0.0000,0.0000,122014167,1.8,1783416352
vyukov-b,throughput,4,4,4,64,none,2.00,1000000,0,1730313,2.0162,0.858,0.0,0,0,0,0,0.1243,0.1701,0,60860,0.0000,0.0000,123556541,1.9,1783416354
faa,throughput,4,4,4,64,none,2.00,1000000,0,4986511,2.0057,2.486,0.0,0,0,0,0,0.0018,0.0019,0,1830266,0.0000,0.0000,124254792,1.7,1783416357
casticket,throughput,4,4,4,64,none,2.00,1000000,0,5128837,2.0056,2.557,0.0,0,0,0,0,0.0010,0.0011,0,1866927,0.0000,0.0000,121101875,1.7,1783416359
mutex,throughput,4,4,4,64,none,2.00,1000000,0,9449782,2.0054,4.712,0.0,0,0,0,0,0.0490,0.0092,0,639673,0.0000,0.0000,123241667,1.9,1783416362
