queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,cons_cov,vcsw,ivcsw,retries_per_op,secondary_per_op,calib_ns,peak_rss_mb,unix_time
ms,throughput,4,4,1,1024,none,2.00,1000000,0,11081511,2.0031,5.532,0.0,0,0,0,0,0.0845,0.0086,0,15282,1.3059,0.4615,94992416,22.9,1783418363
vyukov,throughput,4,4,1,1024,none,2.00,1000000,0,15896736,2.0051,7.928,0.0,0,0,0,0,0.0203,0.0140,0,8937,0.6846,1.6892,121148000,1.4,1783418366
vyukov-b,throughput,4,4,1,1024,none,2.00,1000000,0,16849319,2.0043,8.407,0.0,0,0,0,0,0.0060,0.0359,0,9220,0.6339,1.6146,123524541,1.4,1783418368
faa,throughput,4,4,1,1024,none,2.00,1000000,0,33705445,2.0022,16.834,0.0,0,0,0,0,0.0013,0.0021,0,14155,0.0000,0.0035,119517709,1.3,1783418370
casticket,throughput,4,4,1,1024,none,2.00,1000000,0,41038808,2.0051,20.467,0.0,0,0,0,0,0.0117,0.0192,0,19734,0.9357,0.0046,123728666,1.4,1783418373
mutex,throughput,4,4,1,1024,none,2.00,1000000,0,38839377,2.0036,19.385,0.0,0,0,0,0,0.0072,0.0048,0,848252,0.0000,0.0000,120261083,1.6,1783418375
moody,throughput,4,4,1,1024,none,2.00,1000000,0,15810746,2.0051,7.885,0.0,0,0,0,0,0.0940,0.0321,0,7190,0.0000,0.0000,115695042,1.4,1783418378
ms,throughput,4,4,2,1024,none,2.00,1000000,0,14569519,2.6266,5.547,0.0,0,0,0,0,0.0668,0.0280,0,17466,0.8187,0.3091,122453125,170.7,1783418381
vyukov,throughput,4,4,2,1024,none,2.00,1000000,0,5420582,2.0052,2.703,0.0,0,0,0,0,0.0656,0.0677,0,129050,0.7197,1.8881,124632958,1.5,1783418383
vyukov-b,throughput,4,4,2,1024,none,2.00,1000000,0,4452423,2.0053,2.220,0.0,0,0,0,0,0.0256,0.0800,0,62817,0.7417,2.0307,125116542,1.5,1783418386
